principio_activo_buscado,categoria,producto_nombre_real,marca,farmacias_disponible,n_farmacias,precio_min,precio_max,url_ejemplo
Metronidazol,antibiotico,Metronidazol 500mg rocnarf antiparasitarios,Metronidazol,cruzazul|pharmacys,2,3.6,3.6,https://www.pharmacys.com.ec/metronidazol-500mg-rocnarf-ovulos/p
Metronidazol,antibiotico,Metronidazol Life Solución Inyectable 5mg/Ml x 100 ml,LIFE,medicity,1,3.82,3.82,https://www.farmaciasmedicity.com/metronidazol-life-solucion-inyectable-5mg-ml-x-100-ml-1/p
Metronidazol,antibiotico,Neo Pelvicillin Óvulos Caja 6 Unidades,NEO PELVICILLIN,medicity,1,2.25,2.25,https://www.farmaciasmedicity.com/neo-pelvicillin-caja-con-6-ovulos-1/p
Metronidazol,antibiotico,Rozex Gel 0.75% Tubo 30 g,ROZEX,medicity,1,9.41,9.41,https://www.farmaciasmedicity.com/rozex-gel-075-tubo-con-30-g/p
Moxifloxacino,antibiotico,Flukal Tabletas Recubiertas 400mg Caja 10 Unidades,FLUKAL,medicity,1,6.95,6.95,https://www.farmaciasmedicity.com/flukal-tabletas-recubiertas-400mg-caja-10-unidades-1/p
Moxifloxacino,antibiotico,Lamoflox Solución Oftálmica 0.5% Frasco 5 ml (REC),LAMOFLOX,medicity,1,12.22,12.22,https://www.farmaciasmedicity.com/lamoflox-solucion-oftalmica-0-5-frasco-5-ml-1/p
Moxifloxacino,antibiotico,Moxaval 400mg ecuaquimica - saval comprimidos,Moxaval,cruzazul|pharmacys,2,46.9,46.9,https://www.pharmacys.com.ec/moxaval-400mg-ecuaquimica-saval-comprimidos/p
Moxifloxacino,antibiotico,Moxaval Comprimidos Recubiertos 400mg Caja 7 Unidades,MOXAVAL,medicity,1,5.36,5.36,https://www.farmaciasmedicity.com/moxaval-comprimidos-recubiertos-400mg-caja-7-unidades-1/p
Moxifloxacino,antibiotico,Moxifloxacino 400mg tecnoquimicas - genericos tableta,Moxifloxacino,cruzazul|pharmacys,2,20.16,20.16,https://www.pharmacys.com.ec/moxifloxacino-400mg-tecnoquimicas-genericos-tableta/p
Moxifloxacino,antibiotico,Vigamox Solución Oftálmica 0.5% Frasco 5 ml (REC),VIGAMOX,medicity,1,12.22,12.22,https://www.farmaciasmedicity.com/vigamox-solucion-oftalmica-05-frasco-con-5-ml/p
Nistatina,antibiotico,Etron 500mg/100000ui leterago - procaps óvulos,Etron,cruzazul|pharmacys,2,10.5,10.5,https://www.pharmacys.com.ec/etron-500mg-100000ui-leterago-roddome-ovulos/p
Nistatina,antibiotico,Metronidazol+nistatina 500mg/100000ui caplin point - generico cápsulas,Metronidazol+nistatina,cruzazul|pharmacys,2,4.2,4.2,https://www.pharmacys.com.ec/metronidazol-nistatina-500mg-100000ui-caplin-point-generico-capsulas/p
Nistatina,antibiotico,Neo Nystasolona Crema Tubo 15 g,NEO NYSTASOLONA,medicity,1,2.82,2.82,https://www.farmaciasmedicity.com/neo-nystasolona-crema-tubo-con-15-g/p
Nistatina,antibiotico,Topsym Polivalente Crema Tubo 15 g,TOPSYM,medicity,1,2.58,2.58,https://www.farmaciasmedicity.com/topsym-polivalente-crema-tubo-con-15-g/p
Nitrofurantoina,antibiotico,Nitrofurantoina 100mg tecnoquimicas - genericos cápsulas,Nitrofurantoina,cruzazul|pharmacys,2,7.0,7.0,https://www.pharmacys.com.ec/nitrofurantoina-100mg-tecnoquimicas-genericos-capsulas/p
Nitrofurantoina,antibiotico,Uvamin Retardante Cápsulas 100 mg Caja Con 20 Unidades (REC),UVAMIN,medicity,1,0.21,0.21,https://www.farmaciasmedicity.com/uvamin-retardante-capsulas-100-mg-caja-con-20-unidades/p
Norfloxacino,antibiotico,Norfloxacino 400mg tecnoquimicas - genericos tableta recubierta,Norfloxacino,cruzazul|pharmacys,2,5.76,5.76,https://www.pharmacys.com.ec/norfloxacino-400mg-tecnoquimicas-genericos-tableta-recubierta/p
Norfloxacino,antibiotico,Orsanac 400mg leterago - megalabs comprimidos,Orsanac,cruzazul|pharmacys,2,8.98,8.98,https://www.pharmacys.com.ec/orsanac-400mg-leterago-megalabs-comprimidos/p
Penicilina benzatinica,antibiotico,Biconcilina BZ Polvo Inyectable Caja 2 Unidades (REC),BICONCILINA,medicity,1,1.89,1.89,https://www.farmaciasmedicity.com/biconcilina-bz-polvo-inyectable-caja-con-2-unidades/p
Penicilina benzatinica,antibiotico,Penicilina benzatinica 1200000ui genamerica generico ampollas inyectables,Penicilina Benzatinica,cruzazul|pharmacys,2,20.0,20.0,https://www.pharmacys.com.ec/penicilina-benzatinica-1200000ui-genamerica-generico-ampollas-inyectables/p
Penicilina benzatinica,antibiotico,Penicilina benzatinica 2400000ui genamerica generico en polvo,Penicilina Benzatinica,cruzazul|pharmacys,2,27.0,27.0,https://www.pharmacys.com.ec/penicilina-benzatinica-2400000ui-genamerica-generico-en-polvo/p
Sulfadiazina de plata,antibiotico,Platsul-A Crema Tubo 30 g,PLATSUL-A,medicity,1,7.73,7.73,https://www.farmaciasmedicity.com/platsul-a-crema-tubo-con-30-g/p
Sulfadiazina de plata,antibiotico,Silvadin Crema 1% Frasco Con 150 g (REC),SILVADIN,medicity,1,9.56,9.56,https://www.farmaciasmedicity.com/silvadin-crema-1-frasco-con-150-g/p
Sulfadiazina de plata,antibiotico,Sulfadiazina plata 1gr leterago - genfar en crema,Sulfadiazina Plata,cruzazul|pharmacys,2,2.93,2.93,https://www.pharmacys.com.ec/sulfadiazina-plata-1gr-leterago-genfar-en-crema/p
Tetraciclina,antibiotico,Tetraciclina Ecuaquimica Cápsula 500mg Cápsula 500mg Caja 8 Unidades,ECUAQUIMICA,medicity,1,0.18,0.18,https://www.farmaciasmedicity.com/tetraciclina-ecuaquimica-capsula-500mg-capsula-500mg-caja-8-unidades-1/p
Desogestrel,anticonceptivo,Tejania 0.075mg gedeonrichter tableta,Tejania,cruzazul|pharmacys,2,4.95,4.95,https://www.pharmacys.com.ec/tejania-0075mg-gedeonrichter-tableta/p
Desogestrel,anticonceptivo,Tejania Comprimidos Recubiertos 0.075 mg Caja 28 Unidades,TEJANIA,medicity,1,4.55,4.55,https://www.farmaciasmedicity.com/tejania-comprimidos-recubiertos-0075-mg-caja-con-28-unidades/p
Etinilestradiol/Ciproterona,anticonceptivo,Dixi 35 Tabletas Recubiertas 2/0.035 mg Caja con 21 Unidades,DIXI,medicity,1,7.84,7.84,https://www.farmaciasmedicity.com/dixi-35-tabletas-recubiertas-20035-mg-caja-con-21-unidades/p
Etinilestradiol/Ciproterona,anticonceptivo,Dixi Suave 30 Tableta Recubierta 2mg/30mcg Caja 28 Unidades,DIXI,medicity,1,8.15,8.15,https://www.farmaciasmedicity.com/dixi-suave-30-tableta-recubierta-2-mg--30-mcg-caja-con-28-unidades/p
Etinilestradiol/Ciproterona,anticonceptivo,Mileva 35 Comprimidos Recubiertos 2/0.035 mg Caja con 21 Unidades,MILEVA,medicity,1,5.95,5.95,https://www.farmaciasmedicity.com/mileva-35-comprimidos-recubiertos-20035-mg-caja-con-21-unidades/p
