principio_activo_buscado,categoria,producto_nombre_real,marca,farmacias_disponible,n_farmacias,precio_min,precio_max,url_ejemplo
Tiras reactivas glucosa,diabetes,Gmate Tiras Reactivas Glucosa 50 Unidades,GMATE,medicity,1,28.99,28.99,https://www.farmaciasmedicity.com/gmate-tiras-reactivas-glucosa-50-unidades/p
Tiras reactivas glucosa,diabetes,Lanceta gmate + equipo gmate smart + tiras,Gmate,cruzazul|pharmacys,2,36.0,36.0,https://www.pharmacys.com.ec/lanceta-gmate-equipo-gmate-smart-tiras/p
Tiras reactivas glucosa,diabetes,Tira de prueba accu-chek 25 unidades,Accu-chek,cruzazul|pharmacys,2,17.1,17.1,https://www.pharmacys.com.ec/tira-de-prueba-accu-chek-25-unidades/p
Tiras reactivas glucosa,diabetes,Tira de prueba accu-chek 50 unidades,Accu-chek,cruzazul|pharmacys,2,29.6,29.6,https://www.pharmacys.com.ec/tira-de-prueba-accu-chek-50-unidades/p
Tiras reactivas glucosa,diabetes,Tirillas Reactivas de Glucosa GE100 50 Unidades (2 frascos de 25),Teradry,cruzazul|pharmacys,2,24.0,24.0,https://www.pharmacys.com.ec/tira-reactiva-teradry-gel-100-electric-x-50/p
Vildagliptina,diabetes,Galvus Met Fix Comprimidos Recubiertos 50/500 mg Caja Con 56 Unidades,GALVUS,medicity,1,0.85,0.85,https://www.farmaciasmedicity.com/galvus-met-fix-comprimidos-recubiertos-50500-mg-caja-con-56-unidades/p
Vildagliptina,diabetes,Vilzer 50mg quifatex dist medicamenta comprimidos,Vilzer,cruzazul|pharmacys,2,24.3,24.3,https://www.pharmacys.com.ec/vilzer-50mg-quifatex-dist-medicamenta-comprimidos/p
Vildagliptina,diabetes,Vilzermet 50/1000mg quifatex dist medicamenta comprimido recubierto,Vilzermet,cruzazul|pharmacys,2,28.18,28.18,https://www.pharmacys.com.ec/vilzermet-50-1000mg-quifatex-dist-medicamenta-comprimido-recubierto/p
Vildagliptina,diabetes,Vilzermet 50/500mg quifatex dist medicamenta comprimido recubierto,Vilzermet,cruzazul|pharmacys,2,27.6,27.6,https://www.pharmacys.com.ec/vilzermet-50-500mg-quifatex-dist-medicamenta-comprimido-recubierto/p
Vildagliptina,diabetes,Vilzermet 50/850mg quifatex dist medicamenta comprimido recubierto,Vilzermet,cruzazul|pharmacys,2,27.9,27.9,https://www.pharmacys.com.ec/vilzermet-50-850mg-quifatex-dist-medicamenta-comprimido-recubierto/p
Vildagliptina,diabetes,Vilzermet Comprimidos Recubiertos 850/50mg Caja 30 Unidades,VILZERMET,medicity,1,0.6,0.6,https://www.farmaciasmedicity.com/vilzermet-comprimidos-recubiertos-850-50mg-caja-30-unidades-1/p
Alginato de sodio/Antiacido,gastritis,Alka Seltzer Boost Caja con 10 Comprimidos Efervescentes,ALKA SELTZER,medicity,1,0.39,0.39,https://www.farmaciasmedicity.com/alka-seltzer-boost-caja-con-10-comprimidos-efervescentes/p
Alginato de sodio/Antiacido,gastritis,"Antiácido frutalis limón bicarbonato de sodio 2312,50mg/5g sobres x 12",Frutalis,cruzazul|pharmacys,2,1.64,2.05,https://www.pharmacys.com.ec/antiacido-frutalis-limon-5-g-sobres-x-12/p
Alginato de sodio/Antiacido,gastritis,Dentafirme Forte Nf Polvo Adhesivo 25 g,DENTAFIRME FORTE,medicity,1,6.62,6.62,https://www.farmaciasmedicity.com/dentafirme-forte-nf-polvo-adhesivo-25g/p
Alginato de sodio/Antiacido,gastritis,Milpax Suspensión Cereza Frasco Con 360 mL,MILPAX,medicity,1,12.81,12.81,https://www.farmaciasmedicity.com/milpax-suspension-cereza-frasco-con-360-ml/p
Alginato de sodio/Antiacido,gastritis,Qg5 Plus Suspensión Oral Menta Sachet 10 ml Caja 10 Unidades,QG5,medicity,1,0.64,0.64,https://www.farmaciasmedicity.com/qg5-plus-suspension-oral-menta-sachet-10-ml-caja-10-unidades/p
Alginato de sodio/Antiacido,gastritis,Qg5 Plus Suspensión Oral Menta Sachet 10 ml Caja 24 Unidades,QG5,medicity,1,0.76,0.76,https://www.farmaciasmedicity.com/qg5-plus-suspension-oral-menta-sachet-10-ml-caja-24-unidades/p
Carbonato de calcio,gastritis,Carbonato calcio 600mg oxialfarm farma tableta,Carbonato Calcio,cruzazul|pharmacys,2,6.9,6.9,https://www.pharmacys.com.ec/carbonato-calcio-600mg-oxialfarm-farma-tableta/p
Carbonato de calcio,gastritis,Cebión Tabletas Efervescentes De Vitamina C + Calcio 10 Unidades,CEBION,medicity,1,5.81,5.81,https://www.farmaciasmedicity.com/cebion-calcio-tabletas-efervescentes-naranja-con-10-unidades/p
Carbonato de calcio,gastritis,Centrum Adulto Suplemento Nutricional 30 Unidades,CENTRUM,medicity,1,18.88,18.88,https://www.farmaciasmedicity.com/centrum-adulto-suplemento-nutricional-30-unidades/p
Carbonato de calcio,gastritis,Centrum Silver Suplemento Nutricional 30 Unidades,CENTRUM,medicity,1,21.6,21.6,https://www.farmaciasmedicity.com/centrum-silver-suplemento-nutricional-30-unidades/p
Carbonato de calcio,gastritis,Kidcal Suplemento Alimenticio Suspensión 180 ml,KIDCAL,medicity,1,17.01,17.01,https://www.farmaciasmedicity.com/kidcal-suplemento-alimenticio-suspension-con-180-ml/p
Dimenhidrinato,gastritis,Anautin 50mg ecu tableta,Anautin,cruzazul|pharmacys,2,9.6,9.6,https://www.pharmacys.com.ec/anautin-50mg-ecu-tableta/p
Dimenhidrinato,gastritis,Anautin Tabletas 50 mg Caja con 100 Unidades,ANAUTIN,medicity,1,0.09,0.09,https://www.farmaciasmedicity.com/anautin-tabletas-50-mg-caja-con-100-unidades/p
Esomeprazol,gastritis,Biped Rapid Cápsulas 40mg Caja 20 Unidades,BIPET,medicity,1,1.74,1.74,https://www.farmaciasmedicity.com/biped-rapid-capsulas-40mg-caja-20-unidades-1/p
Esomeprazol,gastritis,Bipetol Cápsulas Caja Con 14 Unidades,BIPETOL,medicity,1,1.15,1.15,https://www.farmaciasmedicity.com/bipetol-capsulas-caja-con-14-unidades/p
Esomeprazol,gastritis,Enterogermina Infantil Probióticos Suspensión Oral en Gotas 8 ml,ENTEROGERMINA,medicity,1,23.88,23.88,https://www.farmaciasmedicity.com/enterogermina-infantil-probioticos-suspension-oral-en-gotas-8-ml/p
Esomeprazol,gastritis,Enterogermina Suspensión 2 Millardos/5ml Frascos 10 Unidades,ENTEROGERMINA,medicity,1,1.61,1.61,https://www.farmaciasmedicity.com/enterogermina-suspension-2-millardos-5ml-frascos-10-unidades/p
Esomeprazol,gastritis,Esomeprazol 20mg la sante tableta,Esomeprazol,cruzazul|pharmacys,2,7.84,7.84,https://www.pharmacys.com.ec/esomeprazol-20mg-la-sante-tableta/p
Esomeprazol,gastritis,Esomeprazol 20mg labovida cápsulas,Esomeprazol,cruzazul|pharmacys,2,7.0,13.75,https://www.pharmacys.com.ec/esomeprazol-capx20mgx14-vida/p
Esomeprazol,gastritis,Esomeprazol 20mg tecnoquimicas - genericos tableta,Esomeprazol,cruzazul|pharmacys,2,6.32,6.32,https://www.pharmacys.com.ec/esomeprazol-20mg-tecnoquimicas-genericos-tableta/p
Esomeprazol,gastritis,Esomeprazol 40mg la sante tableta,Esomeprazol,cruzazul|pharmacys,2,13.5,13.5,https://www.pharmacys.com.ec/esomeprazol-40mg-la-sante-tableta/p
Esomeprazol,gastritis,Esomeprazol 40mg labovida cápsulas,Esomeprazol,cruzazul|pharmacys,2,11.25,11.25,https://www.pharmacys.com.ec/esomeprazol-40mg-labovida-capsulas/p
Esomeprazol,gastritis,Esoz 40mg leterago - sanfer tabletas recubiertas,Esoz,cruzazul|pharmacys,2,49.75,49.75,https://www.pharmacys.com.ec/esoz-40mg-leterago-sanfer-tabletas-recubiertas/p
Esomeprazol,gastritis,Ezolium 20mg leterago - procaps cápsulas,Ezolium,cruzazul|pharmacys,2,26.0,26.0,https://www.pharmacys.com.ec/acondicionador-pantene-bambu-400ml/p
Esomeprazol,gastritis,Ezolium 40mg leterago - procaps cápsulas,Ezolium,cruzazul|pharmacys,2,40.0,40.0,https://www.pharmacys.com.ec/crema-para-peinar-savital-multioleo-y-sabila-275ml/p
Esomeprazol,gastritis,Ezolium Cápsula 20 mg Caja 20 Unidades,EZOLIUM,medicity,1,1.04,1.04,https://www.farmaciasmedicity.com/ezolium-capsula-20-mg-caja-20-unidades-1/p
Esomeprazol,gastritis,Ezolium Cápsula 40 mg Caja 20 Unidades,EZOLIUM,medicity,1,1.6,1.6,https://www.farmaciasmedicity.com/ezolium-capsula-40-mg-caja-20-unidades-1/p
Esomeprazol,gastritis,Nexium Tabletas Recubiertas Caja Con 14 Unidades,NEXIUM,medicity,1,1.07,1.07,https://www.farmaciasmedicity.com/nexium-tabletas-recubiertas-caja-con-14-unidades/p
Esomeprazol,gastritis,Ocam 7.5/20mg leterago - sanfer tableta,Ocam,cruzazul|pharmacys,2,10.92,10.92,https://www.pharmacys.com.ec/ocam-75-20mg-leterago-sanfer-tableta/p
Hidroxido de aluminio/magnesio,gastritis,"Antiácido hidroxido aluminio+magnesio+simeticona 4 g x 4 g x 0,4 g suspensión 150 ml",Hidroxido Aluminio+magnesio+simeticona,cruzazul|pharmacys,2,2.32,2.9,https://www.pharmacys.com.ec/antiacido-hidroxido-aluminio-magnesio-simeticona-4-g-x-4-g-x-04-g-suspension-150-ml/p
Hidroxido de aluminio/magnesio,gastritis,"Antiácido hidroxido aluminio+magnesio+simeticona 4 g x 4 g x 0,4 g suspensión 360 ml",Hidroxido Aluminio+magnesio+simeticona,cruzazul|pharmacys,2,4.5,4.5,https://www.pharmacys.com.ec/antiacido-hidroxido-aluminio-magnesio-simeticona-4-g-x-4-g-x-04-g-suspension-360-ml/p
Hidroxido de aluminio/magnesio,gastritis,Mk Leche Magnesia Suspensión Frasco 360 ml,MK,medicity,1,3.68,3.68,https://www.farmaciasmedicity.com/leche-magnesia-mk-suspension-frasco/p
Lactulosa,gastritis,Beralactulosa 66.70% lfgm,Beralactulosa,cruzazul|pharmacys,2,6.51,6.51,https://www.pharmacys.com.ec/beralactulosa-6670-lfgm/p
Lactulosa,gastritis,Duphalac 200 ml,DUPHALAC,medicity,1,11.98,11.98,https://www.farmaciasmedicity.com/duphalac-jbe-667-g100-ml-frasco-con-200-ml/p
Lactulosa,gastritis,Lactulosa 10gr rocnarf solución oral,Lactulosa,cruzazul|pharmacys,2,10.0,10.0,https://www.pharmacys.com.ec/lactulosa-10gr-rocnarf-generico-solucion-oral/p
Lactulosa,gastritis,Lactulosa 65% caplin point - generico suspensión oral,Lactulosa,cruzazul|pharmacys,2,8.99,8.99,https://www.pharmacys.com.ec/lactulosa-65-caplin-point-generico-suspension-oral/p
Lactulosa,gastritis,Lactulosa 65% cedimed,Lactulosa,cruzazul|pharmacys,2,3.6,4.5,https://www.pharmacys.com.ec/lactulosa-65-cedimed/p
Lactulosa,gastritis,Lactulosa 65% dyvenpro ecuagen,Lactulosa,cruzazul|pharmacys,2,6.8,8.5,https://www.pharmacys.com.ec/lactulosa-65-dyvenpro-ecuagen/p
Lactulosa,gastritis,Lactulosa 65% ecuaquimica - mintlab jarabe 0.65,Lactulosa,cruzazul|pharmacys,2,8.99,8.99,https://www.pharmacys.com.ec/lactulosa-65-ecuaquimica-mintlab-jarabe-065/p
Lactulosa,gastritis,Lactulosa 65% grunenthal solución oral,Lactulosa,cruzazul|pharmacys,2,8.99,8.99,https://www.pharmacys.com.ec/lactulosa-65-grunenthal-solucion-oral/p
Lactulosa,gastritis,Lactulosa 66.70% dyvenpro ecuagen solución oral,Lactulosa,cruzazul|pharmacys,2,9.6,9.6,https://www.pharmacys.com.ec/lactulosa-6670-dyvenpro-ecuagen-solucion-oral/p
Lactulosa,gastritis,Lactulosa Solución 65% Frasco 200 ml,GRUNENTHAL,medicity,1,8.27,8.27,https://www.farmaciasmedicity.com/lactulosa-solucion-65-frasco-con-200-ml/p
Lansoprazol,gastritis,Lansoprazol 30mg la sante cápsulas,Lansoprazol,cruzazul|pharmacys,2,9.8,9.8,https://www.pharmacys.com.ec/lansoprazol-30mg-la-sante-capsulas/p
Lansoprazol,gastritis,Lansoprazol 30mg leterago - genfar cápsulas,Lansoprazol,cruzazul|pharmacys,2,6.0,6.0,https://www.pharmacys.com.ec/biosil-capsulas-x-30/p
Lansoprazol,gastritis,Lansoprazol 30mg tecnoquimicas - genericos cápsulas,Lansoprazol,cruzazul|pharmacys,2,3.43,3.43,https://www.pharmacys.com.ec/lansoprazol-30mg-tecnoquimicas-genericos-capsulas/p
Lansoprazol,gastritis,Lansoprazol Genfar Cápsulas 30mg Liberación Retardada 14 Unidades,GENFAR,medicity,1,0.4,0.4,https://www.farmaciasmedicity.com/lansoprazol-genfar-capsulas-30mg-liberacion-retardada-14-unidades-1/p
Lansoprazol,gastritis,Lanzopral Cápsulas 30 mg Caja Con 30 Unidades,LANZOPRAL,medicity,1,1.44,1.44,https://www.farmaciasmedicity.com/lanzopral-capsulas-30-mg-caja-con-30-unidades/p
Metoclopramida,gastritis,Clodopan Gotas 2.6 mg Frasco con 30 mL,CLODOPAN,medicity,1,2.37,2.37,https://www.farmaciasmedicity.com/clodopan-gotas-26-mg-frasco-con-30-ml/p
Metoclopramida,gastritis,Metoclopramida 10mg kronos genericos ampolla,Metoclopramida,pharmacys,1,2.13,2.13,https://www.pharmacys.com.ec/metoclopramida-10mg-kronos-genericos-ampolla/p
Metoclopramida,gastritis,Metoclopramida 10mg kronos marca tableta,Metoclopramida,pharmacys,1,1.0,1.0,https://www.pharmacys.com.ec/metoclopramida-10mg-kronos-marca-tableta/p
Metoclopramida,gastritis,Metoclopramida 10mg magma especialidad solución inyectable,Metoclopramida,pharmacys,1,38.87,38.87,https://www.pharmacys.com.ec/metoclopramida-10mg-fresenius-kabi-hospitalario-solucion-inyectable/p
Metoclopramida,gastritis,Metoclox Comprimido 10 mg Caja con 100 Unidades,METOCLOX,medicity,1,0.06,0.06,https://www.farmaciasmedicity.com/metoclox-comprimido-10-mg-caja-con-100-unidades-1/p
Omeprazol,gastritis,Esomeprazol Santé Tabletas Recubiertas Caja Con 14 Unidades,LA SANTE,medicity,1,0.52,0.52,https://www.farmaciasmedicity.com/esomeprazol-sante-tabletas-recubiertas-caja-con-14-unidades/p
Omeprazol,gastritis,Genamerica Omeprazol Cápsulas Caja 14 Unidades,GENAMERICA,medicity,1,0.4,0.4,https://www.farmaciasmedicity.com/omeprazol-genamerica-capsulas-caja-con-14-unidades/p
Omeprazol,gastritis,Inprogast Cápsulas 40 mg Caja con 14 Unidades,INPROGAST,medicity,1,0.74,0.74,https://www.farmaciasmedicity.com/inprogast-capsulas-40-mg-caja-con-14-unidades/p
Omeprazol,gastritis,Nifa Omeprazol Cápsulas 40 mg Caja 30 Unidades,NIFA,medicity,1,0.59,0.59,https://www.farmaciasmedicity.com/nifa-omeprazol-capsulas-40-mg-caja-30-unidades-1/p
Omeprazol,gastritis,Omeprazol 20mg genamerica generico cápsulas,Omeprazol,cruzazul|pharmacys,2,6.16,6.16,https://www.pharmacys.com.ec/omeprazol-20mg-genamerica-generico-capsulas/p
Omeprazol,gastritis,Omeprazol 20mg la sante cápsulas,Omeprazol,cruzazul|pharmacys,2,4.38,4.38,https://www.pharmacys.com.ec/omeprazol-20mg-la-sante-capsulas/p
Omeprazol,gastritis,Omeprazol 20mg labovida cápsulas,Omeprazol,cruzazul|pharmacys,2,10.35,10.35,https://www.pharmacys.com.ec/omeprazol-20mg-labovida-capsulas/p
Omeprazol,gastritis,Omeprazol 20mg rocnarf cápsulas,Omeprazol,cruzazul|pharmacys,2,8.16,8.16,https://www.pharmacys.com.ec/omeprazol-20mg-rocnarf-generico-capsulas/p
Omeprazol,gastritis,Omeprazol 40mg dyvenpro ecuagen cápsulas,Omeprazol,cruzazul|pharmacys,2,6.4,6.4,https://www.pharmacys.com.ec/omeprazol-40mg-dyvenpro-ecuagen-capsulas/p
Omeprazol,gastritis,Omeprazol 40mg farmanacion cápsulas,Omeprazol,cruzazul|pharmacys,2,10.25,10.25,https://www.pharmacys.com.ec/omeprazol-40mg-farmanacion-capsulas/p
Omeprazol,gastritis,Omeprazol 40mg genamerica generico cápsulas,Omeprazol,cruzazul|pharmacys,2,8.96,8.96,https://www.pharmacys.com.ec/omeprazol-40mg-genamerica-generico-capsulas/p
Omeprazol,gastritis,Omeprazol 40mg la sante cápsulas,Omeprazol,cruzazul|pharmacys,2,19.2,19.2,https://www.pharmacys.com.ec/omeprazol-40mg-la-sante-capsulas/p
Omeprazol,gastritis,Omeprazol 40mg labovida cápsulas,Omeprazol,cruzazul|pharmacys,2,10.25,10.25,https://www.pharmacys.com.ec/omeprazol-40mg-labovida-capsulas/p
Omeprazol,gastritis,Omeprazol 40mg rocnarf cápsulas,Omeprazol,cruzazul|pharmacys,2,11.52,11.52,https://www.pharmacys.com.ec/omeprazol-40mg-rocnarf-generico-capsulas/p
Omeprazol,gastritis,Omeprazol Genfar Cápsulas 20 mg Caja 10 Unidades,GENFAR,medicity,1,0.37,0.37,https://www.farmaciasmedicity.com/omeprazol-genfar-capsulas-20-mg-caja-con-10-unidades/p
Omeprazol,gastritis,Omeprazol Santé Cápsulas 20 mg Caja Con 16 Unidades,LA SANTE,medicity,1,0.25,0.25,https://www.farmaciasmedicity.com/omeprazol-sante-capsulas-20-mg-caja-con-16-unidades/p
Omeprazol,gastritis,Omeprazol Santé Cápsulas 40 mg Liberación Retardante Caja con 30 Unidades,LA SANTE,medicity,1,0.59,0.59,https://www.farmaciasmedicity.com/omeprazol-sante-capsulas-40-mg-liberacion-retardante-caja-con-30-unidades/p
Omeprazol,gastritis,Omeprazol Vitalis Polvo Inyectable 40mg Caja 10 Unidades,VITALIS,medicity,1,2.37,2.37,https://www.farmaciasmedicity.com/omeprazol-vitalis-polvo-inyectable-40mg-caja-10-unidades-1/p
Omeprazol,gastritis,Ulcozol Rapid Cápsulas 20 mg/1.1 g Caja Con 28 Unidades,ULCOZOL RAPID,medicity,1,0.74,0.74,https://www.farmaciasmedicity.com/ulcozol-rapid-capsulas-20-mg11-g-caja-con-28-unidades/p
Omeprazol,gastritis,Ulcozol Rapid Polvo Suspensión Sobre 5 g Caja Con 30 Unidades,ULCOZOL RAPID,medicity,1,1.74,1.74,https://www.farmaciasmedicity.com/ulcozol-rapid-polvo-suspension-sobre-5-g-caja-con-30-unidades/p
Pantoprazol,gastritis,Enfagrow Promental 3 Regular 1100gr,Enfagrow,cruzazul|pharmacys,2,39.08,48.85,https://www.pharmacys.com.ec/formula-de-crecimiento-enfagrow-premium-etapa-3-sabor-natural-caja-de-1100g/p
Pantoprazol,gastritis,Pantoprazol 20mg farmayala - farmayala tabletas recubiertas,Pantoprazol,cruzazul|pharmacys,2,12.6,12.6,https://www.pharmacys.com.ec/pantoprazol-20mg-farmayala-farmayala-tabletas-recubiertas/p
Pantoprazol,gastritis,Pantoprazol 40mg la sante tableta,Pantoprazol,cruzazul|pharmacys,2,26.99,26.99,https://www.pharmacys.com.ec/pantoprazol-40mg-la-sante-tableta/p
Pantoprazol,gastritis,Tecta Tabletas 40 mg Caja Con 14 Unidades,TECTA,medicity,1,1.69,1.69,https://www.farmaciasmedicity.com/tecta-tabletas-40-mg-caja-con-14-unidades/p
Pantoprazol,gastritis,Zoltum 20mg quifatex dist medicamenta comprimidos recubiertos,Zoltum,cruzazul|pharmacys,2,12.98,12.98,https://www.pharmacys.com.ec/zoltum-20mg-quifatex-dist-medicamenta-comprimidos-recubiertos/p
Pantoprazol,gastritis,Zoltum 40mg quifatex dist medicamenta ampollas inyectables,Zoltum,cruzazul|pharmacys,2,17.85,17.85,https://www.pharmacys.com.ec/zoltum-40mg-quifatex-dist-medicamenta-ampollas-inyectables/p
Pantoprazol,gastritis,Zoltum 40mg quifatex dist medicamenta comprimidos recubiertos,Zoltum,cruzazul|pharmacys,2,21.05,21.05,https://www.pharmacys.com.ec/zoltum-com-recx40mgx14/p
Pantoprazol,gastritis,Zoltum 40mg quifatex dist medicamenta comprimidos recubiertos pack,Zoltum,cruzazul|pharmacys,2,36.0,45.0,https://www.pharmacys.com.ec/zoltum-40mg-quifatex-dist-medicamenta-comprimidos-recubiertos-pack-98809-1/p
Pantoprazol,gastritis,Zoltum Polvo Inyectable 40 mg Caja 1 Unidad,ZOLTUM,medicity,1,16.42,16.42,https://www.farmaciasmedicity.com/zoltum-polvo-inyectable-40-mg-caja-1-unidad-1/p
Rabeprazol,gastritis,Rabezol Cápsula 20 mg Caja 10 Unidades,RABEZOL,medicity,1,1.6,1.6,https://www.farmaciasmedicity.com/rabezol-capsula-20-mg-caja-con-10-unidades-1/p
Sales de rehidratacion oral,gastritis,Hidrasec Granulado 10mg/G Lactantes Sobre Caja 18 Unidades,HIDRASEC,medicity,1,1.27,1.27,https://www.farmaciasmedicity.com/hidrasec-granulado-10mg-g-lactantes-sobre-caja-18-unidades-1/p
Sales de rehidratacion oral,gastritis,Hidrasec Granulado 30mg/3g Niños Sobre Caja 18 Unidades,HIDRASEC,medicity,1,2.13,2.13,https://www.farmaciasmedicity.com/hidrasec-granulado-30mg-3g-ninos-sobre-caja-18-unidades-1/p
Sales de rehidratacion oral,gastritis,Oralyte plus 45 meq manzana solución oral 400 ml,Oralyte,cruzazul|pharmacys,2,3.52,3.76,https://www.pharmacys.com.ec/oralyte-plus-45-meq-manzana-solucion-oral-400-ml/p
Sales de rehidratacion oral,gastritis,Oralyte plus 75meq mandarina solución oral 400 ml,Oralyte,cruzazul|pharmacys,2,3.37,3.59,https://www.pharmacys.com.ec/oralyte-plus-75meq-mandarina-solucion-oral-400-ml/p
Sales de rehidratacion oral,gastritis,Oralyte plus 75meq manzana solución oral 400 ml,Oralyte,cruzazul|pharmacys,2,3.37,3.59,https://www.pharmacys.com.ec/oralyte-plus-75meq-manzana-solucion-oral-400-ml/p
Sales de rehidratacion oral,gastritis,Oralyte plus 75meq uva solución oral 400 ml,Oralyte,cruzazul|pharmacys,2,3.52,3.76,https://www.pharmacys.com.ec/oralyte-plus-75meq-uva-solucion-oral-400-ml/p
Sales de rehidratacion oral,gastritis,Pedialyte NG Fresa 45 mEq 500 ml,PEDIALYTE,medicity,1,4.18,4.18,https://www.farmaciasmedicity.com/pedialyte-45-solucion-oral-fresa-500-ml/p
Sales de rehidratacion oral,gastritis,Pedialyte NL Coco 60 mEq Max 500 ml,PEDIALYTE,medicity,1,4.18,4.18,https://www.farmaciasmedicity.com/pedialyte-60-max-solucion-oral-coco-500-ml/p
Sales de rehidratacion oral,gastritis,Pedialyte NL Fresa 60 mEq Max 500 ml,PEDIALYTE,medicity,1,4.18,4.18,https://www.farmaciasmedicity.com/pedialyte-60-max-solucion-oral-fresa-500-ml/p
Sales de rehidratacion oral,gastritis,Pedialyte NL Manzana 60 EQ Max 500 ml,PEDIALYTE,medicity,1,4.18,4.18,https://www.farmaciasmedicity.com/pedialyte-60-max-solucion-oral-manzana-500-ml/p
Sales de rehidratacion oral,gastritis,Pedialyte Nl Uva 60 Eq Max 500 ml,PEDIALYTE,medicity,1,4.18,4.18,https://www.farmaciasmedicity.com/pedialyte-60-max-solucion-oral-uva-500-ml/p
Sales de rehidratacion oral,gastritis,Sales de hidratación oralyte plus 45 meq solución oral 400ml,Oralyte,cruzazul|pharmacys,2,3.37,3.59,https://www.pharmacys.com.ec/sales-de-hidratacion-oralyte-plus-45-meq-solucion-oral-400ml/p
Sales de rehidratacion oral,gastritis,Sales de hidratación sales rehidratacion en polvo x 30,Sales Rehidratacion,cruzazul|pharmacys,2,15.6,19.5,https://www.pharmacys.com.ec/sales-de-hidratacion-sales-rehidratacion-en-polvo-x-30/p
Sales de rehidratacion oral,gastritis,Sales de hidratación sales rehidratacion sabor neutro sobres x 5,Sales Rehidratacion,cruzazul|pharmacys,2,3.25,3.25,https://www.pharmacys.com.ec/sales-de-hidratacion-sales-rehidratacion-sabor-neutro-sobres-x-5/p
Sales de rehidratacion oral,gastritis,Soluciones hidratantes hydrity rehidratacion oral manzana 45meq 500 ml,Hydrity,cruzazul|pharmacys,2,3.6,4.5,https://www.pharmacys.com.ec/soluciones-hidratantes-hydrity-rehidratacion-oral-manzana-45meq-500-ml/p
Sales de rehidratacion oral,gastritis,Soluciones hidratantes hydrity rehidratacion oral uva 45meq 500ml,Hydrity,cruzazul|pharmacys,2,3.6,4.5,https://www.pharmacys.com.ec/soluciones-hidratantes-hydrity-rehidratacion-oral-uva-45meq-500ml/p
Sales de rehidratacion oral,gastritis,Suero oral sales rehidratacion sabor frutas tropicales sobres x 5,Sales Rehidratacion,cruzazul|pharmacys,2,2.6,3.25,https://www.pharmacys.com.ec/suero-oral-sales-rehidratacion-sabor-frutas-tropicales-sobres-x-5/p
Simeticona,gastritis,Actibutin 200/120mg leterago - procaps tabletas recubiertas,Actibutin,cruzazul|pharmacys,2,12.0,12.0,https://www.pharmacys.com.ec/actibutin-200-120mg-leterago-roddome-tabletas-recubiertas/p
Simeticona,gastritis,Aero-Om Comprimidos Masticables 40 mg Caja 30 Unidades,AERO-OM,medicity,1,0.18,0.18,https://www.farmaciasmedicity.com/aero-om-comprimidos-masticables-40-mg-caja-30-unidades/p
Simeticona,gastritis,Aero-Om Gotas 100 mg/ mL Frasco con 15 mL,AERO-OM,medicity,1,6.23,6.23,https://www.farmaciasmedicity.com/aero-om-gotas-100-mg-ml-frasco-con-15-ml/p
Simeticona,gastritis,Antiácido digesta 250 mg cápsulas blandas x 20,Digesta,cruzazul|pharmacys,2,9.28,11.6,https://www.pharmacys.com.ec/antiacido-digesta-250-mg-capsulas-blandas-x-20/p
Simeticona,gastritis,Antiácido endial digest x 1/200 com-rec x 20,Endial,cruzazul|pharmacys,2,20.8,20.8,https://www.pharmacys.com.ec/endial-digest-x-1-200-com-rec-x-20/p
Simeticona,gastritis,Colonorm Comprimido Recubierto 120/200Mg Caja 30 Unidades,COLONORM,medicity,1,0.55,0.55,https://www.farmaciasmedicity.com/colonorm-comprimido-recubierto-120-200mg-caja-30-unidades/p
Simeticona,gastritis,Colypan Plus Tabletas Recubiertas 200/120 mg Caja Con 30 Unidades,COLYPAN,medicity,1,0.6,0.6,https://www.farmaciasmedicity.com/colypan-plus-tabletas-recubiertas-200120-mg-caja-con-30-unidades/p
Simeticona,gastritis,Digeril Forte Suspensión Frasco,DIGERIL,medicity,1,11.04,11.04,https://www.farmaciasmedicity.com/digeril-forte-suspension-frasco/p
Simeticona,gastritis,Digeril Suspensión Sabor Vainilla 800 mg / 60 mg / 10 ml Frasco 300 ml,DIGERIL,medicity,1,11.04,11.04,https://www.farmaciasmedicity.com/digeril-suspension-800-mg---60-mg---10-ml-frasco-300-ml/p
Simeticona,gastritis,Digeril Suspensión Sabor Vainilla 800mg / 60mg / 10ml Frasco 200ml,DIGERIL,medicity,1,8.28,8.28,https://www.farmaciasmedicity.com/digeril-suspension-sabor-vainilla-800mg---60mg---10ml-frasco-200ml/p
Simeticona,gastritis,Digestotal Pancreático Cápsulas Caja 30 Unidades,DIGESTOTAL,medicity,1,1.56,1.56,https://www.farmaciasmedicity.com/digestotal-pancreatico-capsulas-caja-30-unidades/p
Simeticona,gastritis,Endial Digest Comprimidos Recubiertos Caja Con 20 Unidades,ENDIAL,medicity,1,1.2,1.2,https://www.farmaciasmedicity.com/endial-digest-comprimidos-recubiertos-caja-con-20-unidades/p
Simeticona,gastritis,Laxante digesflat 170 mg x 100 mg tableta x 50,Digesflat,cruzazul|pharmacys,2,9.6,12.0,https://www.pharmacys.com.ec/laxante-digesflat-170-mg-x-100-mg-tableta-x-50/p
