principio_activo_buscado,farmacia,producto_nombre,marca,precio,precio_lista,categorias,url
Losartan,pharmacys,Losartan 50mg tecnoquimicas - genericos tabletas recubiertas,Losartan,8.48,8.48,/Medicinas/Musculoesqueléticos/|/Medicinas/,https://www.pharmacys.com.ec/losartan-50mg-tecnoquimicas-genericos-tabletas-recubiertas/p
Losartan,pharmacys,Losartan 100mg caplin point - generico tableta,Losartan,82.0,82.0,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.pharmacys.com.ec/losartan-100mg-caplin-point-generico-tableta/p
Losartan,medicity,Losartan Potasico Nifa Tableta 100 mg 20 Unidades,NIFA,0.75,0.82,/Medicina/Sistema Cardiovascular/|/Medicina/,https://www.farmaciasmedicity.com/losartan-potasico-nifa-tableta-100-mg-20-unidades-1/p
Losartan,medicity,Losartan Genfar Comprimidos Recubiertos Caja Con 30 Unidades,GENFAR,0.63,0.7,/Medicina/Sistema Cardiovascular/|/Medicina/,https://www.farmaciasmedicity.com/losartan-genfar-comprimidos-recubiertos-caja-con-30-unidades/p
Losartan,medicity,Losartan Mk Tabletas Recubierto 50mg Caja 30 Unidades,MK,0.26,0.28,/Medicina/Sistema Cardiovascular/|/Medicina/,https://www.farmaciasmedicity.com/losartan-mk-tabletas-recubierto-50mg-caja-30-unidades-1/p
Losartan,medicity,Losartan Mk Tableta Recubierta 100 mg Caja 30 Unidades,MK,0.56,0.7,/Medicina/Sistema Cardiovascular/|/Medicina/,https://www.farmaciasmedicity.com/losartan-mk-tableta-recubierta-100-mg-caja-30-unidades-1/p
Losartan,medicity,Losartan Santé Tabletas 50 mg Caja con 30 Unidades,LA SANTE,0.17,0.18,/Medicina/Sistema Cardiovascular/|/Medicina/,https://www.farmaciasmedicity.com/losartan-sante-tabletas-50-mg-caja-con-30-unidades/p
Losartan,medicity,Losartan Santé Tabletas Recubiertas 100 mg Caja Con 30 Unidades,LA SANTE,0.64,0.7,/Medicina/Sistema Cardiovascular/|/Medicina/,https://www.farmaciasmedicity.com/losartan-sante-tabletas-recubiertas-100-mg-caja-con-30-unidades/p
Losartan,medicity,Convertal D Comprimido Recubierto Caja Con 10 Unidades,CONVERTAL,0.84,0.97,/Medicina/Sistema Cardiovascular/|/Medicina/,https://www.farmaciasmedicity.com/convertal-d-comprimido-recubierto-caja-con-10-unidades/p
Losartan,medicity,Cozaar Comprimidos Recubiertos 100 mg Caja 30 Unidades,COZAAR,0.75,0.82,/Medicina/Sistema Cardiovascular/|/Medicina/,https://www.farmaciasmedicity.com/cozaar-comprimidos-recubiertos-100-mg-caja-30-unidades/p
Losartan,medicity,Cozaar Comprimido Recubierto 50 mg Caja Con 30 Unidades,COZAAR,0.33,0.38,/Medicina/Sistema Cardiovascular/|/Medicina/,https://www.farmaciasmedicity.com/cozaar-comprimido-recubierto-50-mg-caja-con-30-unidades/p
Losartan,medicity,Convertal Plus Comprimidos 100mg/10mg Caja 30 Unidades,CONVERTAL,1.16,1.26,/Medicina/Sistema Cardiovascular/|/Medicina/,https://www.farmaciasmedicity.com/convertal-plus-comprimidos-100mg-10mg-caja-30-unidades-1/p
Losartan,cruzazul,Losartan 50mg labovida tableta recubierta,Losartan,7.5,7.5,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.farmaciascruzazul.ec/losartan-50mg-labovida-tableta-recubierta/p
Losartan,cruzazul,Losartan 100mg labovida tableta recubierta,Losartan,19.5,19.5,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.farmaciascruzazul.ec/losartan-100mg-labovida-tableta-recubierta/p
Losartan,cruzazul,Losartán 50 Mg x 30 Tabletas,Losartan,10.8,10.8,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.farmaciascruzazul.ec/losartan-50mg-la-sante-tableta/p
Losartan,cruzazul,Losartan 50mg leterago - genfar comprimidos,Losartan,6.9,6.9,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.farmaciascruzazul.ec/losartan-50mg-leterago-genfar-comprimidos/p
Losartan,cruzazul,Losartan Potásico Tabletas x30 - 100Mg,Losartan,21.0,21.0,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.farmaciascruzazul.ec/losartan-potasi-t-recx100mgx30-lste/p
Losartan,cruzazul,Losartán 100 MG Tabletas Recubiertas x20,Losartan,14.0,14.0,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.farmaciascruzazul.ec/losartan-100mg-dyvenpro-ecuagen-tableta-recubierta/p
Losartan,cruzazul,Losartan 50mg dyvenpro ecuagen tableta recubierta,Losartan,6.6,6.6,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.farmaciascruzazul.ec/losartan-50mg-dyvenpro-ecuagen-tableta-recubierta/p
Losartan,cruzazul,Losartán 50 mg Tabletas Recubiertas x30,Losartan,5.4,5.4,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.farmaciascruzazul.ec/losartan-50mg-la-sante-tabletas-recubiertas/p
Losartan,cruzazul,Losartan 50mg tecnoquimicas - genericos tabletas recubiertas,Losartan,8.48,8.48,/Medicinas/Musculoesqueléticos/|/Medicinas/,https://www.farmaciascruzazul.ec/losartan-50mg-tecnoquimicas-genericos-tabletas-recubiertas/p
Losartan,cruzazul,Losartan 100mg caplin point - generico tableta,Losartan,82.0,82.0,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.farmaciascruzazul.ec/losartan-100mg-caplin-point-generico-tableta/p
Losartan/Hidroclorotiazida,medicity,Convertal D Comprimido Recubierto Caja Con 10 Unidades,CONVERTAL,0.84,0.97,/Medicina/Sistema Cardiovascular/|/Medicina/,https://www.farmaciasmedicity.com/convertal-d-comprimido-recubierto-caja-con-10-unidades/p
Losartan/Hidroclorotiazida,medicity,Hyzaar Comprimidos Recubiertos 30 Unidades,HYZAAR,1.02,1.11,/Medicina/Sistema Cardiovascular/|/Medicina/,https://www.farmaciasmedicity.com/hyzaar-comprimidos-recubiertos-30-unidades/p
Losartan/Hidroclorotiazida,medicity,Angioretic Comprimido Recubierto 50/12.5 mg Con 20 Unidades,ANGIORETIC,0.59,0.64,/Medicina/Sistema Cardiovascular/|/Medicina/,https://www.farmaciasmedicity.com/angioretic-comprimido-recubierto-50125-mg-con-20-unidades/p
